City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,chonchi,-42.6128,-73.8092,277.71,96,100,2.89,CL,1698642025
216,kingston,17.997,-76.7936,301.68,87,75,1.54,JM,1698642026
217,tondano,1.3038,124.9112,301.2,62,63,3.23,ID,1698642026
218,canete,-37.8,-73.4,276.57,85,41,1.85,CL,1698642027
219,camarinas,43.1311,-9.1817,286.03,68,42,13.28,ES,1698642028
220,punta arenas,-53.15,-70.9167,276.21,56,0,8.75,CL,1698642023
221,kangding,30.0513,101.9603,288.75,32,100,1.99,CN,1698642029
222,belmonte,-15.8631,-38.8828,294.09,84,49,0.83,BR,1698642029
223,tabou,4.423,-7.3528,296.64,94,3,1.02,CI,1698642030
224,zelenoborskiy,66.845,32.3622,263.52,86,100,0.96,RU,1698642032
225,oranjemund,-28.55,16.4333,292.11,32,1,9.32,NA,1698642035
226,afaahiti,-17.75,-149.2833,298.08,83,13,9.49,PF,1698642036
227,loa janan,-0.583,117.095,305.23,54,37,0.94,ID,1698642039
228,fuglafjordur,62.244,-6.814,276.41,71,100,7.38,FO,1698642040
229,namibe,-15.1961,12.1522,292.76,81,8,4.64,AO,1698642042
230,zeya,53.75,127.2667,275.09,56,100,4.35,RU,1698642043
231,ketchikan,55.3422,-131.6461,278.14,81,100,1.73,US,1698642044
232,lobujya,27.95,86.8167,269.98,55,20,2.51,NP,1698642045
233,polyarnyy,69.1989,33.4478,266.3,93,100,4.63,RU,1698642045
234,deqing,30.5448,119.9599,301.45,46,0,1.21,CN,1698642046
235,konarka,19.9,86.1167,302.37,52,6,3.39,IN,1698642046
236,magadan,59.5667,150.8,270.57,86,9,0.7,RU,1698642047
237,es castell,39.8795,4.2854,291.53,94,40,0.51,ES,1698642048
238,itoman,26.1247,127.6694,301.36,55,40,4.12,JP,1698642048
239,aleksandrovsk-sakhalinskiy,50.8975,142.1561,279.58,77,12,7.62,RU,1698642049
240,smolensk,55.0,33.0,276.04,95,100,5.43,RU,1698642050
241,shantobe,52.4581,68.1839,278.44,95,100,7.3,KZ,1698642050
242,port-vila,-17.7338,168.3219,298.93,78,75,5.14,VU,1698642051
243,pangai,-19.8,-174.35,299.21,83,75,7.2,TO,1698642051
244,dekalb,33.7504,-84.2333,292.77,60,0,2.11,US,1698642052
245,mahalapye,-23.1041,26.8142,285.74,77,100,10.79,BW,1698642054
246,trollhattan,58.2333,12.4167,276.71,93,100,4.12,SE,1698642054
247,levuka,50.1834,-105.4011,270.05,93,14,4.33,CA,1698642055
248,erdenet,49.0333,104.0833,270.17,70,99,1.74,MN,1698642055
249,contamana,-7.3333,-75.0167,297.12,89,100,1.76,PE,1698642056
250,klaksvik,62.2266,-6.589,276.66,69,100,8.54,FO,1698642057
251,keokuk,40.3973,-91.3849,275.98,64,100,4.12,US,1698641980
252,gardez,33.5974,69.2259,286.93,30,0,1.11,AF,1698642058
253,las veredas,23.1388,-109.7075,298.07,85,5,1.54,MX,1698642059
254,nyagan,62.1406,65.3936,265.05,74,100,3.43,RU,1698642059
255,puerto baquerizo moreno,-0.9,-89.6,296.46,80,100,5.78,EC,1698642060
256,happy valley-goose bay,53.3168,-60.3315,270.32,59,20,6.17,CA,1698642061
257,qamdo,31.1667,97.2333,276.06,26,98,1.7,CN,1698642061
258,loch garman,52.3342,-6.4575,280.44,89,29,2.62,IE,1698641860
259,smithers,54.7804,-127.1743,269.33,80,100,0.0,CA,1698642063
260,bear valley springs,35.1591,-118.6284,282.22,21,0,4.89,US,1698642063
261,tindouf,27.6711,-8.1474,292.4,30,0,2.06,DZ,1698642064
262,kiama,-34.6833,150.8667,305.62,41,97,6.12,AU,1698642065
263,gaigeturi,33.4644,126.3183,294.18,64,0,3.6,KR,1698642066
264,hammerfest,70.6634,23.6821,270.4,80,20,1.03,NO,1698642066
265,gizo,-8.103,156.8419,301.4,78,88,4.33,SB,1698642067
266,los zacatones,22.95,-102.05,292.24,58,70,4.46,MX,1698642067
267,weno,7.4515,151.8468,301.71,77,73,5.35,FM,1698642068
268,andergrove,-21.0833,149.1833,301.84,56,12,4.55,AU,1698642069
269,pacific grove,36.6177,-121.9166,288.51,51,0,2.57,US,1698641849
270,st. john's,47.5649,-52.7093,278.13,61,75,14.4,CA,1698641852
271,moratuwa,6.773,79.8816,303.16,76,100,1.44,LK,1698642071
272,qarazhal,48.0078,70.7903,285.91,74,93,8.91,KZ,1698642071
273,nakhon si thammarat,8.25,100.0,307.84,62,98,4.63,TH,1698642072
274,bandundu,-3.3167,17.3667,296.97,88,71,0.45,CD,1698642073
275,griffith,41.5284,-87.4237,279.32,87,100,6.69,US,1698642073
276,tadine,-21.55,167.8833,294.91,58,1,5.45,NC,1698642074
277,sisimiut,66.9395,-53.6735,270.97,74,100,4.71,GL,1698642075
278,mahina,-17.5065,-149.489,299.02,83,40,3.09,PF,1698642075
279,hasaki,35.7333,140.8333,293.37,57,3,6.85,JP,1698642076
280,tarauaca,-8.1614,-70.7656,295.89,90,100,1.14,BR,1698642022
281,jinji,23.2281,110.8261,299.34,68,96,2.34,CN,1698642077
282,port macquarie,-31.4333,152.9167,299.2,57,0,7.5,AU,1698641978
283,karabash,55.4808,60.2157,272.26,96,100,2.07,RU,1698642079
284,rudbar,30.15,62.6,300.76,26,14,0.8,AF,1698642079
285,howard springs,-12.497,131.047,307.1,56,84,6.0,AU,1698642080
286,chegdomyn,51.1167,133.0167,275.37,91,100,1.99,RU,1698642081
287,minas de marcona,-15.2119,-75.1103,287.57,87,74,5.48,PE,1698642081
288,solikamsk,59.6196,56.7729,269.05,85,100,3.49,RU,1698642082
289,luanda,-8.8368,13.2343,298.15,88,75,2.06,AO,1698642083
290,east london,-33.0153,27.9116,287.62,65,79,3.74,ZA,1698642083
291,kavaratti,10.5669,72.642,300.84,72,100,1.32,IN,1698642084
292,annino,59.7706,30.0561,273.38,92,75,3.0,RU,1698642085
293,castillos,-34.1667,-53.8333,289.41,96,90,1.34,UY,1698642085
294,college,64.8569,-147.8028,270.07,89,75,0.0,US,1698642086
295,mount vernon,40.9126,-73.8371,286.45,89,100,2.68,US,1698641897
296,vytegra,61.0064,36.4481,267.79,90,41,2.24,RU,1698642087
297,menaka,15.9182,2.4022,300.28,12,0,3.86,ML,1698642088
298,sayat,38.7839,63.8803,292.08,30,12,2.27,TM,1698642088
299,kapshagay,43.8833,77.0833,291.32,54,100,5.05,KZ,1698642089
300,mirnyy,62.5353,113.9611,265.34,84,100,3.07,RU,1698642090
301,al jawf,29.5,38.75,290.71,75,99,5.06,SA,1698642090
302,manchester,53.4809,-2.2374,283.36,91,75,1.03,GB,1698641757
303,verkhnevilyuysk,63.4453,120.3167,265.79,87,99,2.56,RU,1698642091
304,sandakan,5.8402,118.1179,304.97,70,40,3.13,MY,1698642092
305,mochudi,-24.4167,26.15,288.48,67,100,6.91,BW,1698642093
306,kazerun,29.6195,51.6541,297.0,33,93,0.51,IR,1698642093
307,rovaniemi,66.5,25.7167,265.82,93,100,2.57,FI,1698642094
308,karema,-6.8205,30.4389,296.56,80,87,1.49,TZ,1698642094
309,aswan,24.0934,32.907,298.76,69,0,2.57,EG,1698642095
310,bandarbeyla,9.4942,50.8122,300.48,72,100,4.87,SO,1698642096
